plant_id,timestamp,availability_forecast,lower_90,upper_90,method
PLANT_001,2025-04-25 03:00:00,86.56,79.85,80.05,blend_prophet_baseline
PLANT_001,2025-04-25 04:00:00,86.56,79.85,80.05,blend_prophet_baseline
PLANT_001,2025-04-25 05:00:00,86.56,79.85,80.05,blend_prophet_baseline
PLANT_001,2025-04-25 06:00:00,86.56,79.85,80.05,blend_prophet_baseline
PLANT_001,2025-04-25 07:00:00,86.56,79.84,80.06,blend_prophet_baseline
PLANT_001,2025-04-25 08:00:00,86.56,79.85,80.04,blend_prophet_baseline
PLANT_001,2025-04-25 09:00:00,86.56,79.84,80.05,blend_prophet_baseline
PLANT_001,2025-04-25 10:00:00,86.56,79.85,80.04,blend_prophet_baseline
PLANT_001,2025-04-25 11:00:00,86.56,79.85,80.04,blend_prophet_baseline
PLANT_001,2025-04-25 12:00:00,86.56,79.85,80.05,blend_prophet_baseline
PLANT_001,2025-04-25 13:00:00,86.56,79.84,80.04,blend_prophet_baseline
PLANT_001,2025-04-25 14:00:00,86.56,79.83,80.04,blend_prophet_baseline
PLANT_001,2025-04-25 15:00:00,86.56,79.84,80.04,blend_prophet_baseline
PLANT_001,2025-04-25 16:00:00,86.56,79.84,80.04,blend_prophet_baseline
PLANT_001,2025-04-25 17:00:00,86.56,79.84,80.04,blend_prophet_baseline
PLANT_001,2025-04-25 18:00:00,86.56,79.84,80.04,blend_prophet_baseline
PLANT_001,2025-04-25 19:00:00,86.56,79.84,80.04,blend_prophet_baseline
PLANT_001,2025-04-25 20:00:00,86.56,79.84,80.04,blend_prophet_baseline
PLANT_001,2025-04-25 21:00:00,86.56,79.85,80.03,blend_prophet_baseline
PLANT_001,2025-04-25 22:00:00,86.56,79.84,80.03,blend_prophet_baseline
PLANT_001,2025-04-25 23:00:00,86.56,79.84,80.03,blend_prophet_baseline
PLANT_001,2025-04-26 00:00:00,86.55,79.84,80.04,blend_prophet_baseline
PLANT_001,2025-04-26 01:00:00,86.55,79.83,80.03,blend_prophet_baseline
PLANT_001,2025-04-26 02:00:00,86.55,79.83,80.04,blend_prophet_baseline
PLANT_001,2025-04-26 03:00:00,86.55,79.84,80.03,blend_prophet_baseline
PLANT_001,2025-04-26 04:00:00,86.55,79.83,80.03,blend_prophet_baseline
PLANT_001,2025-04-26 05:00:00,86.55,79.83,80.03,blend_prophet_baseline
PLANT_001,2025-04-26 06:00:00,86.55,79.84,80.04,blend_prophet_baseline
PLANT_001,2025-04-26 07:00:00,86.55,79.83,80.03,blend_prophet_baseline
PLANT_001,2025-04-26 08:00:00,86.55,79.83,80.03,blend_prophet_baseline
PLANT_001,2025-04-26 09:00:00,86.55,79.83,80.03,blend_prophet_baseline
PLANT_001,2025-04-26 10:00:00,86.55,79.83,80.03,blend_prophet_baseline
PLANT_001,2025-04-26 11:00:00,86.55,79.83,80.03,blend_prophet_baseline
PLANT_001,2025-04-26 12:00:00,86.55,79.83,80.03,blend_prophet_baseline
PLANT_001,2025-04-26 13:00:00,86.55,79.83,80.04,blend_prophet_baseline
PLANT_001,2025-04-26 14:00:00,86.55,79.84,80.03,blend_prophet_baseline
PLANT_001,2025-04-26 15:00:00,86.55,79.83,80.03,blend_prophet_baseline
PLANT_001,2025-04-26 16:00:00,86.55,79.83,80.03,blend_prophet_baseline
PLANT_001,2025-04-26 17:00:00,86.55,79.83,80.03,blend_prophet_baseline
PLANT_001,2025-04-26 18:00:00,86.55,79.84,80.03,blend_prophet_baseline
PLANT_001,2025-04-26 19:00:00,86.55,79.83,80.04,blend_prophet_baseline
PLANT_001,2025-04-26 20:00:00,86.55,79.84,80.03,blend_prophet_baseline
PLANT_001,2025-04-26 21:00:00,86.55,79.84,80.03,blend_prophet_baseline
PLANT_001,2025-04-26 22:00:00,86.55,79.83,80.03,blend_prophet_baseline
PLANT_001,2025-04-26 23:00:00,86.55,79.84,80.03,blend_prophet_baseline
PLANT_001,2025-04-27 00:00:00,86.55,79.84,80.03,blend_prophet_baseline
PLANT_002,2025-04-24 01:00:00,101.7,89.89,90.11,blend_prophet_baseline
PLANT_002,2025-04-24 02:00:00,101.7,89.88,90.11,blend_prophet_baseline
PLANT_002,2025-04-24 03:00:00,101.7,89.88,90.11,blend_prophet_baseline
PLANT_002,2025-04-24 04:00:00,101.7,89.89,90.11,blend_prophet_baseline
PLANT_002,2025-04-24 05:00:00,101.7,89.89,90.11,blend_prophet_baseline
PLANT_002,2025-04-24 06:00:00,101.7,89.87,90.12,blend_prophet_baseline
PLANT_002,2025-04-24 07:00:00,101.7,89.87,90.11,blend_prophet_baseline
PLANT_002,2025-04-24 08:00:00,101.7,89.88,90.1,blend_prophet_baseline
PLANT_002,2025-04-24 09:00:00,101.7,89.88,90.11,blend_prophet_baseline
PLANT_002,2025-04-24 10:00:00,101.7,89.89,90.11,blend_prophet_baseline
PLANT_002,2025-04-24 11:00:00,101.7,89.89,90.12,blend_prophet_baseline
PLANT_002,2025-04-24 12:00:00,101.7,89.88,90.12,blend_prophet_baseline
PLANT_002,2025-04-24 13:00:00,101.7,89.89,90.13,blend_prophet_baseline
PLANT_002,2025-04-24 14:00:00,101.7,89.88,90.12,blend_prophet_baseline
PLANT_002,2025-04-24 15:00:00,101.7,89.88,90.12,blend_prophet_baseline
PLANT_002,2025-04-24 16:00:00,101.7,89.87,90.11,blend_prophet_baseline
PLANT_002,2025-04-24 17:00:00,101.7,89.88,90.12,blend_prophet_baseline
PLANT_002,2025-04-24 18:00:00,101.7,89.89,90.11,blend_prophet_baseline
PLANT_002,2025-04-24 19:00:00,101.7,89.88,90.11,blend_prophet_baseline
PLANT_002,2025-04-24 20:00:00,101.7,89.88,90.11,blend_prophet_baseline
PLANT_002,2025-04-24 21:00:00,101.7,89.89,90.11,blend_prophet_baseline
PLANT_002,2025-04-24 22:00:00,101.7,89.88,90.11,blend_prophet_baseline
PLANT_002,2025-04-24 23:00:00,101.7,89.88,90.12,blend_prophet_baseline
PLANT_002,2025-04-25 00:00:00,101.7,89.87,90.1,blend_prophet_baseline
PLANT_002,2025-04-25 01:00:00,101.7,89.87,90.11,blend_prophet_baseline
PLANT_002,2025-04-25 02:00:00,101.7,89.87,90.1,blend_prophet_baseline
PLANT_002,2025-04-25 03:00:00,101.7,89.87,90.1,blend_prophet_baseline
PLANT_002,2025-04-25 04:00:00,101.7,89.88,90.11,blend_prophet_baseline
PLANT_002,2025-04-25 05:00:00,101.69,89.88,90.11,blend_prophet_baseline
PLANT_002,2025-04-25 06:00:00,101.69,89.87,90.11,blend_prophet_baseline
PLANT_002,2025-04-25 07:00:00,101.69,89.87,90.11,blend_prophet_baseline
PLANT_002,2025-04-25 08:00:00,101.69,89.88,90.11,blend_prophet_baseline
PLANT_002,2025-04-25 09:00:00,101.69,89.87,90.11,blend_prophet_baseline
PLANT_002,2025-04-25 10:00:00,101.69,89.88,90.11,blend_prophet_baseline
PLANT_002,2025-04-25 11:00:00,101.69,89.88,90.11,blend_prophet_baseline
PLANT_002,2025-04-25 12:00:00,101.69,89.87,90.1,blend_prophet_baseline
PLANT_002,2025-04-25 13:00:00,101.69,89.88,90.1,blend_prophet_baseline
PLANT_002,2025-04-25 14:00:00,101.69,89.87,90.1,blend_prophet_baseline
PLANT_002,2025-04-25 15:00:00,101.69,89.86,90.1,blend_prophet_baseline
PLANT_002,2025-04-25 16:00:00,101.69,89.86,90.11,blend_prophet_baseline
PLANT_002,2025-04-25 17:00:00,101.69,89.88,90.1,blend_prophet_baseline
PLANT_002,2025-04-25 18:00:00,101.69,89.87,90.1,blend_prophet_baseline
PLANT_002,2025-04-25 19:00:00,101.69,89.87,90.11,blend_prophet_baseline
PLANT_002,2025-04-25 20:00:00,101.69,89.87,90.1,blend_prophet_baseline
PLANT_002,2025-04-25 21:00:00,101.69,89.87,90.1,blend_prophet_baseline
PLANT_002,2025-04-25 22:00:00,101.69,89.86,90.1,blend_prophet_baseline
PLANT_002,2025-04-25 23:00:00,101.69,89.87,90.1,blend_prophet_baseline
PLANT_002,2025-04-26 00:00:00,101.69,89.87,90.09,blend_prophet_baseline
PLANT_002,2025-04-26 01:00:00,101.69,89.86,90.09,blend_prophet_baseline
PLANT_002,2025-04-26 02:00:00,101.69,89.86,90.1,blend_prophet_baseline
PLANT_002,2025-04-26 03:00:00,101.68,89.86,90.1,blend_prophet_baseline
PLANT_002,2025-04-26 04:00:00,101.68,89.86,90.09,blend_prophet_baseline
PLANT_002,2025-04-26 05:00:00,101.68,89.86,90.09,blend_prophet_baseline
PLANT_002,2025-04-26 06:00:00,101.68,89.86,90.09,blend_prophet_baseline
PLANT_002,2025-04-26 07:00:00,101.68,89.86,90.08,blend_prophet_baseline
PLANT_002,2025-04-26 08:00:00,101.68,89.85,90.09,blend_prophet_baseline
PLANT_002,2025-04-26 09:00:00,101.68,89.86,90.09,blend_prophet_baseline
PLANT_002,2025-04-26 10:00:00,101.68,89.86,90.09,blend_prophet_baseline
PLANT_002,2025-04-26 11:00:00,101.68,89.86,90.1,blend_prophet_baseline
PLANT_002,2025-04-26 12:00:00,101.68,89.86,90.09,blend_prophet_baseline
PLANT_002,2025-04-26 13:00:00,101.68,89.86,90.1,blend_prophet_baseline
PLANT_002,2025-04-26 14:00:00,101.68,89.85,90.09,blend_prophet_baseline
PLANT_002,2025-04-26 15:00:00,101.68,89.86,90.09,blend_prophet_baseline
PLANT_002,2025-04-26 16:00:00,101.68,89.86,90.09,blend_prophet_baseline
PLANT_002,2025-04-26 17:00:00,101.68,89.86,90.09,blend_prophet_baseline
PLANT_002,2025-04-26 18:00:00,101.68,89.86,90.09,blend_prophet_baseline
PLANT_002,2025-04-26 19:00:00,101.68,89.86,90.09,blend_prophet_baseline
PLANT_002,2025-04-26 20:00:00,101.68,89.85,90.1,blend_prophet_baseline
PLANT_002,2025-04-26 21:00:00,101.68,89.86,90.09,blend_prophet_baseline
PLANT_002,2025-04-26 22:00:00,101.68,89.85,90.09,blend_prophet_baseline
PLANT_002,2025-04-26 23:00:00,101.68,89.86,90.1,blend_prophet_baseline
PLANT_002,2025-04-27 00:00:00,101.68,89.86,90.09,blend_prophet_baseline
PLANT_003,2025-04-24 01:00:00,65.06,63.31,63.43,blend_prophet_baseline
PLANT_003,2025-04-24 02:00:00,65.06,63.31,63.43,blend_prophet_baseline
PLANT_003,2025-04-24 03:00:00,65.06,63.31,63.43,blend_prophet_baseline
PLANT_003,2025-04-24 04:00:00,65.06,63.31,63.43,blend_prophet_baseline
PLANT_003,2025-04-24 05:00:00,65.06,63.31,63.43,blend_prophet_baseline
PLANT_003,2025-04-24 06:00:00,65.06,63.3,63.43,blend_prophet_baseline
PLANT_003,2025-04-24 07:00:00,65.06,63.31,63.43,blend_prophet_baseline
PLANT_003,2025-04-24 08:00:00,65.06,63.31,63.43,blend_prophet_baseline
PLANT_003,2025-04-24 09:00:00,65.06,63.3,63.43,blend_prophet_baseline
PLANT_003,2025-04-24 10:00:00,65.06,63.31,63.43,blend_prophet_baseline
PLANT_003,2025-04-24 11:00:00,65.06,63.3,63.43,blend_prophet_baseline
PLANT_003,2025-04-24 12:00:00,65.06,63.3,63.43,blend_prophet_baseline
PLANT_003,2025-04-24 13:00:00,65.06,63.3,63.43,blend_prophet_baseline
PLANT_003,2025-04-24 14:00:00,65.06,63.31,63.43,blend_prophet_baseline
PLANT_003,2025-04-24 15:00:00,65.06,63.31,63.43,blend_prophet_baseline
PLANT_003,2025-04-24 16:00:00,65.06,63.3,63.43,blend_prophet_baseline
PLANT_003,2025-04-24 17:00:00,65.06,63.3,63.43,blend_prophet_baseline
PLANT_003,2025-04-24 18:00:00,65.06,63.31,63.43,blend_prophet_baseline
PLANT_003,2025-04-24 19:00:00,65.06,63.3,63.43,blend_prophet_baseline
PLANT_003,2025-04-24 20:00:00,65.06,63.3,63.43,blend_prophet_baseline
PLANT_003,2025-04-24 21:00:00,65.06,63.3,63.42,blend_prophet_baseline
PLANT_003,2025-04-24 22:00:00,65.06,63.3,63.43,blend_prophet_baseline
PLANT_003,2025-04-24 23:00:00,65.06,63.3,63.43,blend_prophet_baseline
PLANT_003,2025-04-25 00:00:00,65.06,63.3,63.42,blend_prophet_baseline
PLANT_003,2025-04-25 01:00:00,65.05,63.3,63.42,blend_prophet_baseline
PLANT_003,2025-04-25 02:00:00,65.05,63.3,63.42,blend_prophet_baseline
PLANT_003,2025-04-25 03:00:00,65.05,63.3,63.42,blend_prophet_baseline
PLANT_003,2025-04-25 04:00:00,65.05,63.3,63.43,blend_prophet_baseline
PLANT_003,2025-04-25 05:00:00,65.05,63.3,63.43,blend_prophet_baseline
PLANT_003,2025-04-25 06:00:00,65.05,63.3,63.42,blend_prophet_baseline
PLANT_003,2025-04-25 07:00:00,65.05,63.3,63.42,blend_prophet_baseline
PLANT_003,2025-04-25 08:00:00,65.05,63.3,63.43,blend_prophet_baseline
PLANT_003,2025-04-25 09:00:00,65.05,63.3,63.42,blend_prophet_baseline
PLANT_003,2025-04-25 10:00:00,65.05,63.3,63.42,blend_prophet_baseline
PLANT_003,2025-04-25 11:00:00,65.05,63.3,63.42,blend_prophet_baseline
PLANT_003,2025-04-25 12:00:00,65.05,63.3,63.42,blend_prophet_baseline
PLANT_003,2025-04-25 13:00:00,65.05,63.29,63.42,blend_prophet_baseline
PLANT_003,2025-04-25 14:00:00,65.05,63.29,63.42,blend_prophet_baseline
PLANT_003,2025-04-25 15:00:00,65.05,63.29,63.42,blend_prophet_baseline
PLANT_003,2025-04-25 16:00:00,65.05,63.3,63.42,blend_prophet_baseline
PLANT_003,2025-04-25 17:00:00,65.05,63.29,63.42,blend_prophet_baseline
PLANT_003,2025-04-25 18:00:00,65.05,63.29,63.42,blend_prophet_baseline
PLANT_003,2025-04-25 19:00:00,65.05,63.29,63.41,blend_prophet_baseline
PLANT_003,2025-04-25 20:00:00,65.05,63.29,63.42,blend_prophet_baseline
PLANT_003,2025-04-25 21:00:00,65.05,63.29,63.41,blend_prophet_baseline
PLANT_003,2025-04-25 22:00:00,65.05,63.29,63.41,blend_prophet_baseline
PLANT_003,2025-04-25 23:00:00,65.05,63.29,63.42,blend_prophet_baseline
PLANT_003,2025-04-26 00:00:00,65.05,63.29,63.41,blend_prophet_baseline
PLANT_003,2025-04-26 01:00:00,65.05,63.29,63.41,blend_prophet_baseline
PLANT_003,2025-04-26 02:00:00,65.05,63.29,63.41,blend_prophet_baseline
PLANT_003,2025-04-26 03:00:00,65.04,63.29,63.41,blend_prophet_baseline
PLANT_003,2025-04-26 04:00:00,65.04,63.29,63.41,blend_prophet_baseline
PLANT_003,2025-04-26 05:00:00,65.04,63.28,63.41,blend_prophet_baseline
PLANT_003,2025-04-26 06:00:00,65.04,63.29,63.41,blend_prophet_baseline
PLANT_003,2025-04-26 07:00:00,65.04,63.29,63.41,blend_prophet_baseline
PLANT_003,2025-04-26 08:00:00,65.04,63.28,63.4,blend_prophet_baseline
PLANT_003,2025-04-26 09:00:00,65.04,63.29,63.41,blend_prophet_baseline
PLANT_003,2025-04-26 10:00:00,65.04,63.29,63.41,blend_prophet_baseline
PLANT_003,2025-04-26 11:00:00,65.04,63.28,63.4,blend_prophet_baseline
PLANT_003,2025-04-26 12:00:00,65.04,63.28,63.41,blend_prophet_baseline
PLANT_003,2025-04-26 13:00:00,65.04,63.28,63.4,blend_prophet_baseline
PLANT_003,2025-04-26 14:00:00,65.04,63.28,63.41,blend_prophet_baseline
PLANT_003,2025-04-26 15:00:00,65.04,63.28,63.4,blend_prophet_baseline
PLANT_003,2025-04-26 16:00:00,65.04,63.28,63.41,blend_prophet_baseline
PLANT_003,2025-04-26 17:00:00,65.04,63.28,63.41,blend_prophet_baseline
PLANT_003,2025-04-26 18:00:00,65.04,63.28,63.4,blend_prophet_baseline
PLANT_003,2025-04-26 19:00:00,65.04,63.28,63.4,blend_prophet_baseline
PLANT_003,2025-04-26 20:00:00,65.04,63.29,63.41,blend_prophet_baseline
PLANT_003,2025-04-26 21:00:00,65.04,63.28,63.4,blend_prophet_baseline
PLANT_003,2025-04-26 22:00:00,65.04,63.29,63.41,blend_prophet_baseline
PLANT_003,2025-04-26 23:00:00,65.04,63.28,63.41,blend_prophet_baseline
PLANT_003,2025-04-27 00:00:00,65.04,63.28,63.41,blend_prophet_baseline
PLANT_004,2025-04-24 01:00:00,121.35,112.37,112.64,blend_prophet_baseline
PLANT_004,2025-04-24 02:00:00,121.35,112.37,112.64,blend_prophet_baseline
PLANT_004,2025-04-24 03:00:00,121.35,112.37,112.64,blend_prophet_baseline
PLANT_004,2025-04-24 04:00:00,121.35,112.38,112.64,blend_prophet_baseline
PLANT_004,2025-04-24 05:00:00,121.35,112.38,112.63,blend_prophet_baseline
PLANT_004,2025-04-24 06:00:00,121.35,112.37,112.64,blend_prophet_baseline
PLANT_004,2025-04-24 07:00:00,121.35,112.38,112.63,blend_prophet_baseline
PLANT_004,2025-04-24 08:00:00,121.35,112.36,112.65,blend_prophet_baseline
PLANT_004,2025-04-24 09:00:00,121.35,112.37,112.63,blend_prophet_baseline
PLANT_004,2025-04-24 10:00:00,121.35,112.37,112.63,blend_prophet_baseline
PLANT_004,2025-04-24 11:00:00,121.35,112.37,112.63,blend_prophet_baseline
PLANT_004,2025-04-24 12:00:00,121.35,112.37,112.64,blend_prophet_baseline
PLANT_004,2025-04-24 13:00:00,121.35,112.36,112.63,blend_prophet_baseline
PLANT_004,2025-04-24 14:00:00,121.35,112.37,112.63,blend_prophet_baseline
PLANT_004,2025-04-24 15:00:00,121.35,112.37,112.63,blend_prophet_baseline
PLANT_004,2025-04-24 16:00:00,121.35,112.37,112.62,blend_prophet_baseline
PLANT_004,2025-04-24 17:00:00,121.35,112.37,112.63,blend_prophet_baseline
PLANT_004,2025-04-24 18:00:00,121.35,112.36,112.63,blend_prophet_baseline
PLANT_004,2025-04-24 19:00:00,121.35,112.38,112.63,blend_prophet_baseline
PLANT_004,2025-04-24 20:00:00,121.35,112.37,112.62,blend_prophet_baseline
PLANT_004,2025-04-24 21:00:00,121.35,112.36,112.63,blend_prophet_baseline
PLANT_004,2025-04-24 22:00:00,121.35,112.36,112.62,blend_prophet_baseline
PLANT_004,2025-04-24 23:00:00,121.35,112.36,112.63,blend_prophet_baseline
PLANT_004,2025-04-25 00:00:00,121.35,112.36,112.63,blend_prophet_baseline
PLANT_004,2025-04-25 01:00:00,121.34,112.36,112.63,blend_prophet_baseline
PLANT_004,2025-04-25 02:00:00,121.34,112.36,112.64,blend_prophet_baseline
PLANT_004,2025-04-25 03:00:00,121.34,112.35,112.62,blend_prophet_baseline
PLANT_004,2025-04-25 04:00:00,121.34,112.37,112.62,blend_prophet_baseline
PLANT_004,2025-04-25 05:00:00,121.34,112.36,112.62,blend_prophet_baseline
PLANT_004,2025-04-25 06:00:00,121.34,112.35,112.62,blend_prophet_baseline
PLANT_004,2025-04-25 07:00:00,121.34,112.36,112.62,blend_prophet_baseline
PLANT_004,2025-04-25 08:00:00,121.34,112.35,112.62,blend_prophet_baseline
PLANT_004,2025-04-25 09:00:00,121.34,112.35,112.62,blend_prophet_baseline
PLANT_004,2025-04-25 10:00:00,121.34,112.35,112.61,blend_prophet_baseline
PLANT_004,2025-04-25 11:00:00,121.34,112.35,112.61,blend_prophet_baseline
PLANT_004,2025-04-25 12:00:00,121.34,112.35,112.62,blend_prophet_baseline
PLANT_004,2025-04-25 13:00:00,121.33,112.34,112.61,blend_prophet_baseline
PLANT_004,2025-04-25 14:00:00,121.33,112.35,112.61,blend_prophet_baseline
PLANT_004,2025-04-25 15:00:00,121.33,112.34,112.61,blend_prophet_baseline
PLANT_004,2025-04-25 16:00:00,121.33,112.34,112.6,blend_prophet_baseline
PLANT_004,2025-04-25 17:00:00,121.33,112.35,112.6,blend_prophet_baseline
PLANT_004,2025-04-25 18:00:00,121.33,112.35,112.6,blend_prophet_baseline
PLANT_004,2025-04-25 19:00:00,121.33,112.33,112.61,blend_prophet_baseline
PLANT_004,2025-04-25 20:00:00,121.33,112.35,112.6,blend_prophet_baseline
PLANT_004,2025-04-25 21:00:00,121.33,112.34,112.59,blend_prophet_baseline
PLANT_004,2025-04-25 22:00:00,121.33,112.33,112.59,blend_prophet_baseline
PLANT_004,2025-04-25 23:00:00,121.33,112.33,112.6,blend_prophet_baseline
PLANT_004,2025-04-26 00:00:00,121.32,112.33,112.59,blend_prophet_baseline
PLANT_004,2025-04-26 01:00:00,121.32,112.34,112.59,blend_prophet_baseline
PLANT_004,2025-04-26 02:00:00,121.32,112.33,112.59,blend_prophet_baseline
PLANT_004,2025-04-26 03:00:00,121.32,112.33,112.59,blend_prophet_baseline
PLANT_004,2025-04-26 04:00:00,121.32,112.33,112.6,blend_prophet_baseline
PLANT_004,2025-04-26 05:00:00,121.32,112.33,112.59,blend_prophet_baseline
PLANT_004,2025-04-26 06:00:00,121.32,112.32,112.59,blend_prophet_baseline
PLANT_004,2025-04-26 07:00:00,121.32,112.32,112.58,blend_prophet_baseline
PLANT_004,2025-04-26 08:00:00,121.32,112.33,112.57,blend_prophet_baseline
PLANT_004,2025-04-26 09:00:00,121.32,112.31,112.59,blend_prophet_baseline
PLANT_004,2025-04-26 10:00:00,121.32,112.33,112.57,blend_prophet_baseline
PLANT_004,2025-04-26 11:00:00,121.32,112.31,112.59,blend_prophet_baseline
PLANT_004,2025-04-26 12:00:00,121.31,112.32,112.58,blend_prophet_baseline
PLANT_004,2025-04-26 13:00:00,121.31,112.32,112.58,blend_prophet_baseline
PLANT_004,2025-04-26 14:00:00,121.31,112.32,112.57,blend_prophet_baseline
PLANT_004,2025-04-26 15:00:00,121.31,112.32,112.57,blend_prophet_baseline
PLANT_004,2025-04-26 16:00:00,121.31,112.32,112.57,blend_prophet_baseline
PLANT_004,2025-04-26 17:00:00,121.31,112.31,112.57,blend_prophet_baseline
PLANT_004,2025-04-26 18:00:00,121.31,112.31,112.58,blend_prophet_baseline
PLANT_004,2025-04-26 19:00:00,121.31,112.31,112.58,blend_prophet_baseline
PLANT_004,2025-04-26 20:00:00,121.31,112.31,112.59,blend_prophet_baseline
PLANT_004,2025-04-26 21:00:00,121.31,112.32,112.58,blend_prophet_baseline
PLANT_004,2025-04-26 22:00:00,121.31,112.31,112.57,blend_prophet_baseline
PLANT_004,2025-04-26 23:00:00,121.31,112.32,112.58,blend_prophet_baseline
PLANT_004,2025-04-27 00:00:00,121.31,112.32,112.58,blend_prophet_baseline
PLANT_005,2025-04-24 01:00:00,79.54,71.85,74.93,blend_prophet_baseline
PLANT_005,2025-04-24 02:00:00,79.54,71.76,74.96,blend_prophet_baseline
PLANT_005,2025-04-24 03:00:00,79.53,71.79,74.95,blend_prophet_baseline
PLANT_005,2025-04-24 04:00:00,79.53,71.74,74.83,blend_prophet_baseline
PLANT_005,2025-04-24 05:00:00,79.53,71.76,74.95,blend_prophet_baseline
PLANT_005,2025-04-24 06:00:00,79.53,71.71,74.72,blend_prophet_baseline
PLANT_005,2025-04-24 07:00:00,79.52,71.74,74.83,blend_prophet_baseline
PLANT_005,2025-04-24 08:00:00,79.52,71.67,74.91,blend_prophet_baseline
PLANT_005,2025-04-24 09:00:00,79.52,71.73,74.93,blend_prophet_baseline
PLANT_005,2025-04-24 10:00:00,79.51,71.7,74.86,blend_prophet_baseline
PLANT_005,2025-04-24 11:00:00,79.51,71.7,74.87,blend_prophet_baseline
PLANT_005,2025-04-24 12:00:00,79.5,71.74,74.91,blend_prophet_baseline
PLANT_005,2025-04-24 13:00:00,79.5,71.74,74.8,blend_prophet_baseline
PLANT_005,2025-04-24 14:00:00,79.5,71.72,74.86,blend_prophet_baseline
PLANT_005,2025-04-24 15:00:00,79.49,71.79,74.9,blend_prophet_baseline
PLANT_005,2025-04-24 16:00:00,79.49,71.77,74.82,blend_prophet_baseline
PLANT_005,2025-04-24 17:00:00,79.48,71.82,74.79,blend_prophet_baseline
PLANT_005,2025-04-24 18:00:00,79.48,71.72,74.82,blend_prophet_baseline
PLANT_005,2025-04-24 19:00:00,79.47,71.79,74.88,blend_prophet_baseline
PLANT_005,2025-04-24 20:00:00,79.47,71.66,74.83,blend_prophet_baseline
PLANT_005,2025-04-24 21:00:00,79.47,71.76,74.93,blend_prophet_baseline
PLANT_005,2025-04-24 22:00:00,79.46,71.78,74.66,blend_prophet_baseline
PLANT_005,2025-04-24 23:00:00,79.46,71.58,74.81,blend_prophet_baseline
PLANT_005,2025-04-25 00:00:00,79.46,71.65,74.74,blend_prophet_baseline
PLANT_005,2025-04-25 01:00:00,79.45,71.72,74.79,blend_prophet_baseline
PLANT_005,2025-04-25 02:00:00,79.45,71.65,74.87,blend_prophet_baseline
PLANT_005,2025-04-25 03:00:00,79.45,71.71,74.74,blend_prophet_baseline
PLANT_005,2025-04-25 04:00:00,79.44,71.6,74.73,blend_prophet_baseline
PLANT_005,2025-04-25 05:00:00,79.44,71.62,74.73,blend_prophet_baseline
PLANT_005,2025-04-25 06:00:00,79.44,71.66,74.69,blend_prophet_baseline
PLANT_005,2025-04-25 07:00:00,79.44,71.62,74.75,blend_prophet_baseline
PLANT_005,2025-04-25 08:00:00,79.44,71.6,74.69,blend_prophet_baseline
PLANT_005,2025-04-25 09:00:00,79.44,71.62,74.75,blend_prophet_baseline
PLANT_005,2025-04-25 10:00:00,79.44,71.67,74.73,blend_prophet_baseline
PLANT_005,2025-04-25 11:00:00,79.44,71.55,74.7,blend_prophet_baseline
PLANT_005,2025-04-25 12:00:00,79.44,71.71,74.76,blend_prophet_baseline
