plant_id,timestamp,forecast_mw,p10,p25,p50,p75,p90,scenario_worst,scenario_base,scenario_best,sigma_total
PLANT_002,2025-04-26 13:00:00,53.093,47.56,49.826,52.218,54.955,57.286,47.56,52.218,57.286,8.751
PLANT_002,2025-04-26 14:00:00,53.093,47.997,50.068,52.494,54.794,57.091,47.997,52.494,57.091,8.751
PLANT_002,2025-04-26 15:00:00,53.093,47.638,49.995,52.375,54.714,56.864,47.638,52.375,56.864,8.751
PLANT_002,2025-04-26 16:00:00,53.093,47.976,50.03,52.538,54.824,57.12,47.976,52.538,57.12,8.751
PLANT_002,2025-04-26 17:00:00,53.093,47.846,50.132,52.385,55.244,57.168,47.846,52.385,57.168,8.751
PLANT_002,2025-04-26 18:00:00,53.093,47.817,49.899,52.421,55.093,57.23,47.817,52.421,57.23,8.751
PLANT_002,2025-04-26 19:00:00,53.093,47.502,49.864,52.351,54.916,57.058,47.502,52.351,57.058,8.751
PLANT_002,2025-04-26 20:00:00,53.093,47.587,49.973,52.439,54.861,56.851,47.587,52.439,56.851,8.751
PLANT_002,2025-04-26 21:00:00,53.093,47.658,49.874,52.264,54.575,57.024,47.658,52.264,57.024,8.751
PLANT_002,2025-04-26 22:00:00,53.093,47.658,49.956,52.316,54.931,56.919,47.658,52.316,56.919,8.751
PLANT_002,2025-04-26 23:00:00,53.093,47.477,49.649,52.14,54.559,57.091,47.477,52.14,57.091,8.751
PLANT_002,2025-04-27 00:00:00,53.092,47.183,49.711,52.351,54.725,56.884,47.183,52.351,56.884,8.751
PLANT_005,2025-04-24 01:00:00,34.922,27.3,30.496,34.493,38.256,41.736,27.3,34.493,41.736,5.839
PLANT_005,2025-04-24 02:00:00,35.319,29.425,31.797,34.896,37.611,40.547,29.425,34.896,40.547,5.855
PLANT_005,2025-04-24 03:00:00,35.447,30.389,32.481,34.961,37.356,39.624,30.389,34.961,39.624,5.86
PLANT_005,2025-04-24 04:00:00,35.609,31.319,33.043,35.009,37.188,39.198,31.319,35.009,39.198,5.866
PLANT_005,2025-04-24 05:00:00,35.913,31.838,33.519,35.463,37.379,38.907,31.838,35.463,38.907,5.878
PLANT_005,2025-04-24 06:00:00,35.98,32.056,33.617,35.539,37.337,38.75,32.056,35.539,38.75,5.88
PLANT_005,2025-04-24 07:00:00,36.475,32.527,34.253,36.059,37.809,39.23,32.527,36.059,39.23,5.9
PLANT_005,2025-04-24 08:00:00,36.28,32.615,34.12,35.772,37.483,39.069,32.615,35.772,39.069,5.892
PLANT_005,2025-04-24 09:00:00,36.729,32.998,34.485,36.104,38.06,39.578,32.998,36.104,39.578,5.91
PLANT_005,2025-04-24 10:00:00,36.374,32.716,34.271,35.948,37.68,39.118,32.716,35.948,39.118,5.896
PLANT_005,2025-04-24 11:00:00,36.288,32.477,34.124,35.698,37.606,39.018,32.477,35.698,39.018,5.893
PLANT_005,2025-04-24 12:00:00,36.547,32.761,34.097,35.893,37.622,39.134,32.761,35.893,39.134,5.903
PLANT_005,2025-04-24 13:00:00,36.215,32.469,33.913,35.725,37.474,38.843,32.469,35.725,38.843,5.89
PLANT_005,2025-04-24 14:00:00,36.165,32.404,33.957,35.624,37.316,38.796,32.404,35.624,38.796,5.888
PLANT_005,2025-04-24 15:00:00,36.491,32.9,34.365,35.975,37.614,39.183,32.9,35.975,39.183,5.901
PLANT_005,2025-04-24 16:00:00,35.87,32.427,33.665,35.424,37.01,38.617,32.427,35.424,38.617,5.876
PLANT_005,2025-04-24 17:00:00,36.62,32.903,34.516,36.126,37.834,39.373,32.903,36.126,39.373,5.906
PLANT_005,2025-04-24 18:00:00,36.998,33.052,34.956,36.657,38.248,39.602,33.052,36.657,39.602,5.921
PLANT_005,2025-04-24 19:00:00,35.8,32.254,33.681,35.276,36.871,38.484,32.254,35.276,38.484,5.873
PLANT_005,2025-04-24 20:00:00,36.339,32.565,34.21,36.03,37.464,38.954,32.565,36.03,38.954,5.895
PLANT_005,2025-04-24 21:00:00,37.362,33.488,35.168,36.937,38.506,39.956,33.488,36.937,39.956,5.935
PLANT_005,2025-04-24 22:00:00,35.348,31.592,33.132,34.838,36.313,37.933,31.592,34.838,37.933,5.856
PLANT_005,2025-04-24 23:00:00,37.458,33.582,35.158,36.824,38.427,40.077,33.582,36.824,40.077,5.939
PLANT_005,2025-04-25 00:00:00,41.575,37.678,39.111,40.762,42.664,44.12,37.678,40.762,44.12,6.112
PLANT_005,2025-04-25 01:00:00,41.575,37.703,39.12,40.732,42.609,44.002,37.703,40.732,44.002,6.112
PLANT_005,2025-04-25 02:00:00,41.575,37.613,39.049,40.947,42.541,44.281,37.613,40.947,44.281,6.112
PLANT_005,2025-04-25 03:00:00,41.575,37.51,39.035,40.903,42.673,44.436,37.51,40.903,44.436,6.112
PLANT_005,2025-04-25 04:00:00,41.575,37.83,39.266,40.954,42.589,44.092,37.83,40.954,44.092,6.112
PLANT_005,2025-04-25 05:00:00,41.575,37.912,39.115,40.927,42.711,44.406,37.912,40.927,44.406,6.112
PLANT_005,2025-04-25 06:00:00,41.575,37.785,39.316,40.987,42.759,44.324,37.785,40.987,44.324,6.112
PLANT_005,2025-04-25 07:00:00,41.575,37.916,39.333,41.056,42.593,44.083,37.916,41.056,44.083,6.112
PLANT_005,2025-04-25 08:00:00,41.575,37.563,39.203,40.935,42.628,44.389,37.563,40.935,44.389,6.112
PLANT_005,2025-04-25 09:00:00,41.575,37.857,39.323,41.028,42.807,44.426,37.857,41.028,44.426,6.112
PLANT_005,2025-04-25 10:00:00,41.575,37.883,39.151,40.842,42.497,44.08,37.883,40.842,44.08,6.112
PLANT_005,2025-04-25 11:00:00,41.575,37.567,39.143,40.893,42.537,44.253,37.567,40.893,44.253,6.112
PLANT_005,2025-04-25 12:00:00,41.575,37.516,39.155,40.965,42.714,44.323,37.516,40.965,44.323,6.112
PLANT_005,2025-04-25 13:00:00,41.575,37.696,39.153,40.983,42.693,44.234,37.696,40.983,44.234,6.112
PLANT_005,2025-04-25 14:00:00,41.576,37.586,39.156,40.932,42.638,44.192,37.586,40.932,44.192,6.112
PLANT_005,2025-04-25 15:00:00,41.576,37.543,39.074,40.881,42.537,44.017,37.543,40.881,44.017,6.112
PLANT_005,2025-04-25 16:00:00,41.576,37.554,39.104,40.722,42.495,43.996,37.554,40.722,43.996,6.112
PLANT_005,2025-04-25 17:00:00,41.576,37.594,39.154,40.747,42.662,44.07,37.594,40.747,44.07,6.112
PLANT_005,2025-04-25 18:00:00,41.576,37.554,39.0,40.859,42.641,44.196,37.554,40.859,44.196,6.112
PLANT_005,2025-04-25 19:00:00,41.576,37.424,38.966,40.771,42.652,44.115,37.424,40.771,44.115,6.112
PLANT_005,2025-04-25 20:00:00,41.576,37.501,39.089,40.84,42.47,44.167,37.501,40.84,44.167,6.112
PLANT_005,2025-04-25 21:00:00,41.576,37.612,39.115,40.844,42.555,44.047,37.612,40.844,44.047,6.112
PLANT_005,2025-04-25 22:00:00,41.576,37.518,38.955,40.755,42.711,44.238,37.518,40.755,44.238,6.112
PLANT_005,2025-04-25 23:00:00,41.576,37.25,38.969,40.826,42.707,44.317,37.25,40.826,44.317,6.112
PLANT_005,2025-04-26 00:00:00,41.577,37.526,39.116,40.984,42.597,44.222,37.526,40.984,44.222,6.112
PLANT_005,2025-04-26 01:00:00,41.577,37.571,39.218,40.896,42.574,44.354,37.571,40.896,44.354,6.112
PLANT_005,2025-04-26 02:00:00,41.577,37.692,39.251,40.857,42.546,44.14,37.692,40.857,44.14,6.112
PLANT_005,2025-04-26 03:00:00,41.577,37.658,39.135,41.059,42.827,44.333,37.658,41.059,44.333,6.112
PLANT_005,2025-04-26 04:00:00,41.577,37.384,39.04,40.916,42.771,44.403,37.384,40.916,44.403,6.112
PLANT_005,2025-04-26 05:00:00,41.577,37.42,39.132,40.87,42.607,44.111,37.42,40.87,44.111,6.112
PLANT_005,2025-04-26 06:00:00,41.577,37.579,39.327,40.965,42.684,44.078,37.579,40.965,44.078,6.112
PLANT_005,2025-04-26 07:00:00,41.577,37.581,39.246,41.059,42.793,44.366,37.581,41.059,44.366,6.112
PLANT_005,2025-04-26 08:00:00,41.577,37.796,39.266,40.979,42.649,44.297,37.796,40.979,44.297,6.112
PLANT_005,2025-04-26 09:00:00,41.577,37.919,39.336,40.959,42.494,44.202,37.919,40.959,44.202,6.112
PLANT_005,2025-04-26 10:00:00,41.576,37.658,39.298,41.017,42.623,44.414,37.658,41.017,44.414,6.112
PLANT_005,2025-04-26 11:00:00,41.576,37.617,39.297,40.889,42.601,44.254,37.617,40.889,44.254,6.112
PLANT_005,2025-04-26 12:00:00,41.576,37.555,39.293,41.059,42.861,44.145,37.555,41.059,44.145,6.112
PLANT_005,2025-04-26 13:00:00,41.577,37.73,39.225,40.938,42.638,44.205,37.73,40.938,44.205,6.112
PLANT_005,2025-04-26 14:00:00,41.577,37.417,39.188,40.825,42.76,44.145,37.417,40.825,44.145,6.112
PLANT_005,2025-04-26 15:00:00,41.577,37.703,39.301,40.981,42.887,44.489,37.703,40.981,44.489,6.112
PLANT_005,2025-04-26 16:00:00,41.577,37.565,39.14,40.875,42.769,44.507,37.565,40.875,44.507,6.112
PLANT_005,2025-04-26 17:00:00,41.577,37.611,39.353,41.023,42.602,44.178,37.611,41.023,44.178,6.112
PLANT_005,2025-04-26 18:00:00,41.577,37.665,39.267,40.969,42.678,44.135,37.665,40.969,44.135,6.112
PLANT_005,2025-04-26 19:00:00,41.577,37.807,39.227,40.967,42.584,44.319,37.807,40.967,44.319,6.112
PLANT_005,2025-04-26 20:00:00,41.577,37.929,39.25,40.883,42.714,44.331,37.929,40.883,44.331,6.112
PLANT_005,2025-04-26 21:00:00,41.577,37.89,39.461,41.079,42.729,44.133,37.89,41.079,44.133,6.112
PLANT_005,2025-04-26 22:00:00,41.577,37.84,39.248,40.972,42.764,44.358,37.84,40.972,44.358,6.112
PLANT_005,2025-04-26 23:00:00,41.577,37.82,39.347,41.155,42.752,44.349,37.82,41.155,44.349,6.112
PLANT_005,2025-04-27 00:00:00,41.577,37.729,39.382,41.057,42.765,44.336,37.729,41.057,44.336,6.112
PLANT_007,2025-04-24 01:00:00,42.519,31.617,36.239,42.018,47.459,52.492,31.617,42.018,52.492,8.444
PLANT_007,2025-04-24 02:00:00,42.814,34.427,37.852,42.326,46.246,50.485,34.427,42.326,50.485,8.453
PLANT_007,2025-04-24 03:00:00,42.406,35.25,38.264,41.836,45.286,48.552,35.25,41.836,48.552,8.44
PLANT_007,2025-04-24 04:00:00,42.498,36.454,38.937,41.766,44.902,47.795,36.454,41.766,47.795,8.443
PLANT_007,2025-04-24 05:00:00,42.72,36.995,39.412,42.207,44.961,47.158,36.995,42.207,47.158,8.45
PLANT_007,2025-04-24 06:00:00,43.01,37.495,39.742,42.506,45.094,47.127,37.495,42.506,47.127,8.46
PLANT_007,2025-04-24 07:00:00,43.155,37.628,40.104,42.695,45.206,47.245,37.628,42.695,47.245,8.464
PLANT_007,2025-04-24 08:00:00,43.273,38.139,40.302,42.676,45.136,47.414,38.139,42.676,47.414,8.468
PLANT_007,2025-04-24 09:00:00,43.518,38.304,40.437,42.759,45.565,47.742,38.304,42.759,47.742,8.476
PLANT_007,2025-04-24 10:00:00,43.775,38.639,40.877,43.291,45.782,47.853,38.639,43.291,47.853,8.485
PLANT_007,2025-04-24 11:00:00,43.767,38.407,40.778,43.045,45.792,47.824,38.407,43.045,47.824,8.484
PLANT_007,2025-04-24 12:00:00,43.578,38.275,40.193,42.773,45.255,47.428,38.275,42.773,47.428,8.478
PLANT_007,2025-04-24 13:00:00,43.277,38.023,40.099,42.705,45.219,47.187,38.023,42.705,47.187,8.468
PLANT_007,2025-04-24 14:00:00,42.478,37.226,39.452,41.843,44.27,46.391,37.226,41.843,46.391,8.442
PLANT_007,2025-04-24 15:00:00,43.024,38.014,40.115,42.424,44.774,47.023,38.014,42.424,47.023,8.46
PLANT_007,2025-04-24 16:00:00,42.921,38.097,39.878,42.409,44.692,47.004,38.097,42.409,47.004,8.457
PLANT_007,2025-04-24 17:00:00,44.053,38.836,41.156,43.471,45.928,48.142,38.836,43.471,48.142,8.494
PLANT_007,2025-04-24 18:00:00,43.847,38.329,41.057,43.495,45.776,47.717,38.329,43.495,47.717,8.487
PLANT_007,2025-04-24 19:00:00,44.11,39.096,41.159,43.467,45.775,48.108,39.096,43.467,48.108,8.496
PLANT_007,2025-04-24 20:00:00,43.746,38.443,40.81,43.429,45.494,47.638,38.443,43.429,47.638,8.484
PLANT_007,2025-04-24 21:00:00,45.385,39.938,42.354,44.899,47.156,49.242,39.938,44.899,49.242,8.539
PLANT_007,2025-04-24 22:00:00,46.544,41.12,43.377,45.876,48.036,50.41,41.12,45.876,50.41,8.579
PLANT_007,2025-04-24 23:00:00,45.946,40.482,42.752,45.153,47.463,49.84,40.482,45.153,49.84,8.558
PLANT_007,2025-04-25 00:00:00,49.381,43.991,46.027,48.372,51.073,53.14,43.991,48.372,53.14,8.679
PLANT_007,2025-04-25 01:00:00,49.382,44.028,46.041,48.33,50.996,52.973,44.028,48.33,52.973,8.679
PLANT_007,2025-04-25 02:00:00,49.382,43.9,45.94,48.636,50.899,53.369,43.9,48.636,53.369,8.679
PLANT_007,2025-04-25 03:00:00,49.382,43.755,45.92,48.573,51.086,53.59,43.755,48.573,53.59,8.679
PLANT_007,2025-04-25 04:00:00,49.382,44.209,46.247,48.645,50.967,53.101,44.209,48.645,53.101,8.679
PLANT_007,2025-04-25 05:00:00,49.382,44.325,46.034,48.606,51.139,53.547,44.325,48.606,53.547,8.679
PLANT_007,2025-04-25 06:00:00,49.382,44.145,46.32,48.691,51.208,53.431,44.145,48.691,53.431,8.679
PLANT_007,2025-04-25 07:00:00,49.382,44.331,46.343,48.791,50.972,53.088,44.331,48.791,53.088,8.679
PLANT_007,2025-04-25 08:00:00,49.382,43.829,46.159,48.617,51.022,53.524,43.829,48.617,53.524,8.679
PLANT_007,2025-04-25 09:00:00,49.382,44.248,46.328,48.751,51.277,53.575,44.248,48.751,53.575,8.679
PLANT_007,2025-04-25 10:00:00,49.382,44.284,46.085,48.487,50.836,53.084,44.284,48.487,53.084,8.679
PLANT_007,2025-04-25 11:00:00,49.382,43.835,46.073,48.559,50.894,53.329,43.835,48.559,53.329,8.679
PLANT_007,2025-04-25 12:00:00,49.382,43.763,46.091,48.661,51.145,53.429,43.763,48.661,53.429,8.679
PLANT_007,2025-04-25 13:00:00,49.382,44.019,46.087,48.686,51.115,53.302,44.019,48.686,53.302,8.679
PLANT_007,2025-04-25 14:00:00,49.382,43.86,46.09,48.613,51.035,53.242,43.86,48.613,53.242,8.679
PLANT_007,2025-04-25 15:00:00,49.382,43.8,45.974,48.54,50.891,52.993,43.8,48.54,52.993,8.679
PLANT_007,2025-04-25 16:00:00,49.382,43.816,46.016,48.314,50.832,52.964,43.816,48.314,52.964,8.679
PLANT_007,2025-04-25 17:00:00,49.382,43.873,46.087,48.349,51.068,53.069,43.873,48.349,53.069,8.679
PLANT_007,2025-04-25 18:00:00,49.382,43.816,45.869,48.508,51.04,53.247,43.816,48.508,53.247,8.679
PLANT_007,2025-04-25 19:00:00,49.382,43.631,45.82,48.384,51.055,53.132,43.631,48.384,53.132,8.679
PLANT_007,2025-04-25 20:00:00,49.382,43.74,45.996,48.481,50.796,53.206,43.74,48.481,53.206,8.679
PLANT_007,2025-04-25 21:00:00,49.382,43.898,46.032,48.487,50.917,53.035,43.898,48.487,53.035,8.679
PLANT_007,2025-04-25 22:00:00,49.382,43.764,45.804,48.361,51.139,53.307,43.764,48.361,53.307,8.679
PLANT_007,2025-04-25 23:00:00,49.382,43.383,45.825,48.462,51.133,53.419,43.383,48.462,53.419,8.679
PLANT_007,2025-04-26 00:00:00,49.382,43.774,46.032,48.685,50.975,53.283,43.774,48.685,53.283,8.679
PLANT_007,2025-04-26 01:00:00,49.382,43.838,46.177,48.56,50.942,53.47,43.838,48.56,53.47,8.679
PLANT_007,2025-04-26 02:00:00,49.382,44.01,46.224,48.505,50.902,53.167,44.01,48.505,53.167,8.679
PLANT_007,2025-04-26 03:00:00,49.382,43.961,46.06,48.791,51.303,53.441,43.961,48.791,53.441,8.679
PLANT_007,2025-04-26 04:00:00,49.382,43.573,45.924,48.589,51.222,53.539,43.573,48.589,53.539,8.679
PLANT_007,2025-04-26 05:00:00,49.382,43.623,46.055,48.523,50.99,53.126,43.623,48.523,53.126,8.679
PLANT_007,2025-04-26 06:00:00,49.382,43.85,46.332,48.658,51.099,53.078,43.85,48.658,53.078,8.679
PLANT_007,2025-04-26 07:00:00,49.382,43.853,46.216,48.792,51.253,53.487,43.853,48.792,53.487,8.679
PLANT_007,2025-04-26 08:00:00,49.382,44.157,46.245,48.678,51.049,53.389,44.157,48.678,53.389,8.679
PLANT_007,2025-04-26 09:00:00,49.383,44.333,46.346,48.65,50.831,53.256,44.333,48.65,53.256,8.68
PLANT_007,2025-04-26 10:00:00,49.383,43.964,46.292,48.734,51.015,53.558,43.964,48.734,53.558,8.68
PLANT_007,2025-04-26 11:00:00,49.382,43.905,46.29,48.551,50.983,53.33,43.905,48.551,53.33,8.679
PLANT_007,2025-04-26 12:00:00,49.382,43.817,46.286,48.793,51.351,53.175,43.817,48.793,53.175,8.679
PLANT_007,2025-04-26 13:00:00,49.382,44.063,46.186,48.62,51.033,53.259,44.063,48.62,53.259,8.679
PLANT_007,2025-04-26 14:00:00,49.382,43.619,46.134,48.459,51.207,53.173,43.619,48.459,53.173,8.679
PLANT_007,2025-04-26 15:00:00,49.382,44.025,46.295,48.68,51.387,53.662,44.025,48.68,53.662,8.679
PLANT_007,2025-04-26 16:00:00,49.382,43.83,46.066,48.529,51.22,53.687,43.83,48.529,53.687,8.679
PLANT_007,2025-04-26 17:00:00,49.382,43.896,46.369,48.741,50.983,53.221,43.896,48.741,53.221,8.679
PLANT_007,2025-04-26 18:00:00,49.382,43.972,46.246,48.663,51.09,53.159,43.972,48.663,53.159,8.679
PLANT_007,2025-04-26 19:00:00,49.382,44.173,46.189,48.661,50.957,53.421,44.173,48.661,53.421,8.679
PLANT_007,2025-04-26 20:00:00,49.382,44.346,46.222,48.541,51.142,53.437,44.346,48.541,53.437,8.679
PLANT_007,2025-04-26 21:00:00,49.382,44.292,46.522,48.819,51.162,53.157,44.292,48.819,53.157,8.679
PLANT_007,2025-04-26 22:00:00,49.381,44.219,46.219,48.666,51.211,53.474,44.219,48.666,53.474,8.679
PLANT_007,2025-04-26 23:00:00,49.382,44.191,46.36,48.927,51.195,53.464,44.191,48.927,53.464,8.679
PLANT_007,2025-04-27 00:00:00,49.381,44.062,46.409,48.788,51.214,53.444,44.062,48.788,53.444,8.679
PLANT_017,2025-04-24 01:00:00,24.453,17.882,20.676,24.169,27.458,30.5,17.882,24.169,30.5,5.104
PLANT_017,2025-04-24 02:00:00,24.498,19.453,21.522,24.224,26.591,29.151,19.453,24.224,29.151,5.105
PLANT_017,2025-04-24 03:00:00,24.645,20.328,22.153,24.316,26.404,28.382,20.328,24.316,28.382,5.11
PLANT_017,2025-04-24 04:00:00,24.415,20.781,22.282,23.991,25.887,27.635,20.781,23.991,27.635,5.103
PLANT_017,2025-04-24 05:00:00,24.249,20.818,22.276,23.962,25.624,26.949,20.818,23.962,26.949,5.098
PLANT_017,2025-04-24 06:00:00,23.875,20.589,21.94,23.602,25.158,26.38,20.589,23.602,26.38,5.086
PLANT_017,2025-04-24 07:00:00,23.715,20.43,21.916,23.472,24.979,26.203,20.43,23.472,26.203,5.082
PLANT_017,2025-04-24 08:00:00,23.536,20.494,21.791,23.214,24.689,26.054,20.494,23.214,26.054,5.076
PLANT_017,2025-04-24 09:00:00,23.616,20.529,21.807,23.198,24.879,26.184,20.529,23.198,26.184,5.079
PLANT_017,2025-04-24 10:00:00,23.771,20.731,22.072,23.518,25.01,26.251,20.731,23.518,26.251,5.083
PLANT_017,2025-04-24 11:00:00,23.502,20.336,21.754,23.11,24.753,25.969,20.336,23.11,25.969,5.075
PLANT_017,2025-04-24 12:00:00,23.366,20.234,21.382,22.925,24.41,25.709,20.234,22.925,25.709,5.071
PLANT_017,2025-04-24 13:00:00,23.447,20.336,21.58,23.142,24.648,25.827,20.336,23.142,25.827,5.074
PLANT_017,2025-04-24 14:00:00,23.776,20.64,21.981,23.42,24.882,26.159,20.64,23.42,26.159,5.083
PLANT_017,2025-04-24 15:00:00,23.409,20.441,21.701,23.085,24.494,25.843,20.441,23.085,25.843,5.072
PLANT_017,2025-04-24 16:00:00,23.136,20.286,21.352,22.868,24.235,25.62,20.286,22.868,25.62,5.064
PLANT_017,2025-04-24 17:00:00,23.239,20.172,21.556,22.938,24.403,25.724,20.172,22.938,25.724,5.067
PLANT_017,2025-04-24 18:00:00,23.265,20.014,21.643,23.099,24.461,25.62,20.014,23.099,25.62,5.068
PLANT_017,2025-04-24 19:00:00,24.021,21.053,22.289,23.672,25.055,26.453,21.053,23.672,26.453,5.091
PLANT_017,2025-04-24 20:00:00,24.212,21.057,22.479,24.053,25.293,26.581,21.057,24.053,26.581,5.097
