plant_id,timestamp,forecast_mw,lower_90,upper_90,model
PLANT_004,2025-04-25 02:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-25 03:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-25 04:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-25 05:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-25 06:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-25 07:00:00,0.145,0.028,0.262,ridge
PLANT_004,2025-04-25 08:00:00,0.251,0.134,0.368,ridge
PLANT_004,2025-04-25 09:00:00,0.276,0.159,0.392,ridge
PLANT_004,2025-04-25 10:00:00,0.317,0.201,0.434,ridge
PLANT_004,2025-04-25 11:00:00,0.301,0.184,0.417,ridge
PLANT_004,2025-04-25 12:00:00,0.286,0.169,0.403,ridge
PLANT_004,2025-04-25 13:00:00,0.306,0.189,0.423,ridge
PLANT_004,2025-04-25 14:00:00,0.168,0.051,0.285,ridge
PLANT_004,2025-04-25 15:00:00,0.075,0.0,0.192,ridge
PLANT_004,2025-04-25 16:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-25 17:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-25 18:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-25 19:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-25 20:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-25 21:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-25 22:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-25 23:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-26 00:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-26 01:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-26 02:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-26 03:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-26 04:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-26 05:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-26 06:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-26 07:00:00,0.111,0.0,0.228,ridge
PLANT_004,2025-04-26 08:00:00,0.28,0.163,0.397,ridge
PLANT_004,2025-04-26 09:00:00,0.347,0.231,0.464,ridge
PLANT_004,2025-04-26 10:00:00,0.439,0.322,0.555,ridge
PLANT_004,2025-04-26 11:00:00,0.442,0.325,0.559,ridge
PLANT_004,2025-04-26 12:00:00,0.382,0.266,0.499,ridge
PLANT_004,2025-04-26 13:00:00,0.269,0.152,0.386,ridge
PLANT_004,2025-04-26 14:00:00,0.201,0.084,0.318,ridge
PLANT_004,2025-04-26 15:00:00,0.047,0.0,0.163,ridge
PLANT_004,2025-04-26 16:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-26 17:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-26 18:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-26 19:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-26 20:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-26 21:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-26 22:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-26 23:00:00,0.0,0.0,0.117,ridge
PLANT_004,2025-04-27 00:00:00,0.0,0.0,0.117,ridge
PLANT_006,2025-04-24 01:00:00,1.103,1.095,1.111,ridge
PLANT_006,2025-04-24 02:00:00,1.152,1.144,1.161,ridge
PLANT_006,2025-04-24 03:00:00,1.206,1.198,1.215,ridge
PLANT_006,2025-04-24 04:00:00,1.265,1.256,1.273,ridge
PLANT_006,2025-04-24 05:00:00,1.328,1.32,1.337,ridge
PLANT_006,2025-04-24 06:00:00,1.399,1.391,1.407,ridge
PLANT_006,2025-04-24 07:00:00,1.487,1.479,1.496,ridge
PLANT_006,2025-04-24 08:00:00,1.551,1.543,1.56,ridge
PLANT_006,2025-04-24 09:00:00,1.569,1.561,1.577,ridge
PLANT_006,2025-04-24 10:00:00,1.524,1.516,1.532,ridge
PLANT_006,2025-04-24 11:00:00,1.387,1.379,1.395,ridge
PLANT_006,2025-04-24 12:00:00,1.208,1.199,1.216,ridge
PLANT_006,2025-04-24 13:00:00,0.943,0.935,0.952,ridge
PLANT_006,2025-04-24 14:00:00,0.738,0.73,0.747,ridge
PLANT_006,2025-04-24 15:00:00,0.511,0.503,0.519,ridge
PLANT_006,2025-04-24 16:00:00,0.318,0.31,0.326,ridge
PLANT_006,2025-04-24 17:00:00,0.158,0.149,0.166,ridge
PLANT_006,2025-04-24 18:00:00,0.024,0.016,0.032,ridge
PLANT_006,2025-04-24 19:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-24 20:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-24 21:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-24 22:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-24 23:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-25 00:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-25 01:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-25 02:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-25 03:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-25 04:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-25 05:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-25 06:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-25 07:00:00,0.001,0.0,0.009,ridge
PLANT_006,2025-04-25 08:00:00,0.01,0.001,0.018,ridge
PLANT_006,2025-04-25 09:00:00,0.018,0.01,0.026,ridge
PLANT_006,2025-04-25 10:00:00,0.02,0.012,0.029,ridge
PLANT_006,2025-04-25 11:00:00,0.021,0.013,0.03,ridge
PLANT_006,2025-04-25 12:00:00,0.012,0.003,0.02,ridge
PLANT_006,2025-04-25 13:00:00,0.006,0.0,0.014,ridge
PLANT_006,2025-04-25 14:00:00,0.001,0.0,0.009,ridge
PLANT_006,2025-04-25 15:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-25 16:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-25 17:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-25 18:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-25 19:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-25 20:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-25 21:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-25 22:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-25 23:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-26 00:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-26 01:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-26 02:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-26 03:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-26 04:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-26 05:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-26 06:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-26 07:00:00,0.001,0.0,0.01,ridge
PLANT_006,2025-04-26 08:00:00,0.007,0.0,0.015,ridge
PLANT_006,2025-04-26 09:00:00,0.01,0.002,0.018,ridge
PLANT_006,2025-04-26 10:00:00,0.011,0.003,0.019,ridge
PLANT_006,2025-04-26 11:00:00,0.019,0.011,0.027,ridge
PLANT_006,2025-04-26 12:00:00,0.012,0.004,0.02,ridge
PLANT_006,2025-04-26 13:00:00,0.005,0.0,0.013,ridge
PLANT_006,2025-04-26 14:00:00,0.005,0.0,0.013,ridge
PLANT_006,2025-04-26 15:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-26 16:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-26 17:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-26 18:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-26 19:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-26 20:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-26 21:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-26 22:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-26 23:00:00,0.0,0.0,0.008,ridge
PLANT_006,2025-04-27 00:00:00,0.0,0.0,0.008,ridge
PLANT_008,2025-04-24 01:00:00,3.2,3.175,3.225,ridge
PLANT_008,2025-04-24 02:00:00,3.344,3.32,3.369,ridge
PLANT_008,2025-04-24 03:00:00,3.5,3.476,3.525,ridge
PLANT_008,2025-04-24 04:00:00,3.669,3.644,3.694,ridge
PLANT_008,2025-04-24 05:00:00,3.853,3.828,3.878,ridge
PLANT_008,2025-04-24 06:00:00,4.057,4.033,4.082,ridge
PLANT_008,2025-04-24 07:00:00,4.31,4.285,4.334,ridge
PLANT_008,2025-04-24 08:00:00,4.463,4.438,4.488,ridge
PLANT_008,2025-04-24 09:00:00,4.439,4.414,4.463,ridge
PLANT_008,2025-04-24 10:00:00,4.404,4.379,4.429,ridge
PLANT_008,2025-04-24 11:00:00,3.953,3.929,3.978,ridge
PLANT_008,2025-04-24 12:00:00,3.465,3.44,3.49,ridge
PLANT_008,2025-04-24 13:00:00,2.871,2.846,2.895,ridge
PLANT_008,2025-04-24 14:00:00,2.143,2.118,2.167,ridge
PLANT_008,2025-04-24 15:00:00,1.505,1.481,1.53,ridge
PLANT_008,2025-04-24 16:00:00,0.796,0.772,0.821,ridge
PLANT_008,2025-04-24 17:00:00,0.312,0.287,0.336,ridge
PLANT_008,2025-04-24 18:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-24 19:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-24 20:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-24 21:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-24 22:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-24 23:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-25 00:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-25 01:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-25 02:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-25 03:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-25 04:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-25 05:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-25 06:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-25 07:00:00,0.049,0.024,0.074,ridge
PLANT_008,2025-04-25 08:00:00,0.092,0.067,0.117,ridge
PLANT_008,2025-04-25 09:00:00,0.122,0.098,0.147,ridge
PLANT_008,2025-04-25 10:00:00,0.129,0.104,0.154,ridge
PLANT_008,2025-04-25 11:00:00,0.126,0.101,0.151,ridge
PLANT_008,2025-04-25 12:00:00,0.127,0.102,0.151,ridge
PLANT_008,2025-04-25 13:00:00,0.124,0.1,0.149,ridge
PLANT_008,2025-04-25 14:00:00,0.087,0.063,0.112,ridge
PLANT_008,2025-04-25 15:00:00,0.039,0.014,0.064,ridge
PLANT_008,2025-04-25 16:00:00,0.012,0.0,0.036,ridge
PLANT_008,2025-04-25 17:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-25 18:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-25 19:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-25 20:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-25 21:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-25 22:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-25 23:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-26 00:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-26 01:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-26 02:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-26 03:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-26 04:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-26 05:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-26 06:00:00,0.002,0.0,0.026,ridge
PLANT_008,2025-04-26 07:00:00,0.052,0.027,0.076,ridge
PLANT_008,2025-04-26 08:00:00,0.098,0.074,0.123,ridge
PLANT_008,2025-04-26 09:00:00,0.124,0.099,0.149,ridge
PLANT_008,2025-04-26 10:00:00,0.139,0.114,0.164,ridge
PLANT_008,2025-04-26 11:00:00,0.142,0.117,0.167,ridge
PLANT_008,2025-04-26 12:00:00,0.122,0.097,0.147,ridge
PLANT_008,2025-04-26 13:00:00,0.094,0.069,0.119,ridge
PLANT_008,2025-04-26 14:00:00,0.06,0.036,0.085,ridge
PLANT_008,2025-04-26 15:00:00,0.035,0.01,0.06,ridge
PLANT_008,2025-04-26 16:00:00,0.006,0.0,0.031,ridge
PLANT_008,2025-04-26 17:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-26 18:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-26 19:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-26 20:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-26 21:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-26 22:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-26 23:00:00,0.0,0.0,0.025,ridge
PLANT_008,2025-04-27 00:00:00,0.0,0.0,0.025,ridge
PLANT_014,2025-04-24 01:00:00,5.031,4.998,5.064,ridge
PLANT_014,2025-04-24 02:00:00,5.251,5.218,5.283,ridge
PLANT_014,2025-04-24 03:00:00,5.486,5.453,5.519,ridge
PLANT_014,2025-04-24 04:00:00,5.741,5.708,5.774,ridge
PLANT_014,2025-04-24 05:00:00,6.017,5.984,6.05,ridge
PLANT_014,2025-04-24 06:00:00,6.326,6.293,6.359,ridge
PLANT_014,2025-04-24 07:00:00,6.744,6.711,6.777,ridge
PLANT_014,2025-04-24 08:00:00,6.889,6.856,6.922,ridge
PLANT_014,2025-04-24 09:00:00,6.914,6.881,6.947,ridge
PLANT_014,2025-04-24 10:00:00,6.704,6.671,6.737,ridge
PLANT_014,2025-04-24 11:00:00,5.929,5.896,5.962,ridge
PLANT_014,2025-04-24 12:00:00,5.575,5.542,5.608,ridge
PLANT_014,2025-04-24 13:00:00,4.387,4.354,4.42,ridge
PLANT_014,2025-04-24 14:00:00,3.078,3.045,3.111,ridge
PLANT_014,2025-04-24 15:00:00,2.206,2.173,2.239,ridge
PLANT_014,2025-04-24 16:00:00,1.366,1.333,1.399,ridge
PLANT_014,2025-04-24 17:00:00,0.663,0.63,0.696,ridge
PLANT_014,2025-04-24 18:00:00,0.099,0.066,0.132,ridge
PLANT_014,2025-04-24 19:00:00,0.108,0.075,0.141,ridge
PLANT_014,2025-04-24 20:00:00,0.118,0.085,0.151,ridge
PLANT_014,2025-04-24 21:00:00,0.134,0.101,0.167,ridge
PLANT_014,2025-04-24 22:00:00,0.147,0.114,0.18,ridge
PLANT_014,2025-04-24 23:00:00,0.161,0.128,0.194,ridge
PLANT_014,2025-04-25 00:00:00,0.16,0.127,0.193,ridge
PLANT_014,2025-04-25 01:00:00,0.159,0.126,0.192,ridge
PLANT_014,2025-04-25 02:00:00,0.166,0.134,0.199,ridge
PLANT_014,2025-04-25 03:00:00,0.172,0.139,0.205,ridge
PLANT_014,2025-04-25 04:00:00,0.172,0.139,0.205,ridge
PLANT_014,2025-04-25 05:00:00,0.172,0.139,0.205,ridge
PLANT_014,2025-04-25 06:00:00,0.172,0.139,0.204,ridge
PLANT_014,2025-04-25 07:00:00,0.253,0.22,0.286,ridge
PLANT_014,2025-04-25 08:00:00,0.316,0.283,0.349,ridge
PLANT_014,2025-04-25 09:00:00,0.352,0.319,0.384,ridge
PLANT_014,2025-04-25 10:00:00,0.369,0.337,0.402,ridge
PLANT_014,2025-04-25 11:00:00,0.376,0.343,0.408,ridge
PLANT_014,2025-04-25 12:00:00,0.362,0.329,0.395,ridge
PLANT_014,2025-04-25 13:00:00,0.329,0.296,0.362,ridge
PLANT_014,2025-04-25 14:00:00,0.269,0.236,0.302,ridge
PLANT_014,2025-04-25 15:00:00,0.221,0.188,0.254,ridge
PLANT_014,2025-04-25 16:00:00,0.176,0.143,0.209,ridge
PLANT_014,2025-04-25 17:00:00,0.134,0.101,0.167,ridge
PLANT_014,2025-04-25 18:00:00,0.09,0.057,0.123,ridge
PLANT_014,2025-04-25 19:00:00,0.096,0.064,0.129,ridge
PLANT_014,2025-04-25 20:00:00,0.116,0.084,0.149,ridge
PLANT_014,2025-04-25 21:00:00,0.13,0.097,0.163,ridge
PLANT_014,2025-04-25 22:00:00,0.146,0.113,0.179,ridge
PLANT_014,2025-04-25 23:00:00,0.158,0.125,0.191,ridge
PLANT_014,2025-04-26 00:00:00,0.158,0.125,0.191,ridge
PLANT_014,2025-04-26 01:00:00,0.158,0.125,0.191,ridge
PLANT_014,2025-04-26 02:00:00,0.167,0.134,0.199,ridge
PLANT_014,2025-04-26 03:00:00,0.169,0.136,0.202,ridge
PLANT_014,2025-04-26 04:00:00,0.174,0.141,0.207,ridge
PLANT_014,2025-04-26 05:00:00,0.173,0.14,0.206,ridge
PLANT_014,2025-04-26 06:00:00,0.173,0.14,0.206,ridge
PLANT_014,2025-04-26 07:00:00,0.225,0.192,0.258,ridge
PLANT_014,2025-04-26 08:00:00,0.271,0.238,0.304,ridge
PLANT_014,2025-04-26 09:00:00,0.29,0.257,0.323,ridge
PLANT_014,2025-04-26 10:00:00,0.34,0.307,0.372,ridge
PLANT_014,2025-04-26 11:00:00,0.345,0.312,0.378,ridge
PLANT_014,2025-04-26 12:00:00,0.32,0.288,0.353,ridge
PLANT_014,2025-04-26 13:00:00,0.309,0.277,0.342,ridge
PLANT_014,2025-04-26 14:00:00,0.292,0.259,0.324,ridge
PLANT_014,2025-04-26 15:00:00,0.266,0.233,0.299,ridge
PLANT_014,2025-04-26 16:00:00,0.191,0.158,0.224,ridge
PLANT_014,2025-04-26 17:00:00,0.129,0.096,0.162,ridge
PLANT_014,2025-04-26 18:00:00,0.082,0.049,0.115,ridge
PLANT_014,2025-04-26 19:00:00,0.094,0.061,0.127,ridge
PLANT_014,2025-04-26 20:00:00,0.111,0.078,0.144,ridge
PLANT_014,2025-04-26 21:00:00,0.126,0.093,0.158,ridge
PLANT_014,2025-04-26 22:00:00,0.136,0.103,0.169,ridge
PLANT_014,2025-04-26 23:00:00,0.151,0.118,0.184,ridge
PLANT_014,2025-04-27 00:00:00,0.15,0.117,0.183,ridge
PLANT_016,2025-04-24 01:00:00,1.079,1.071,1.087,ridge
PLANT_016,2025-04-24 02:00:00,1.129,1.121,1.137,ridge
PLANT_016,2025-04-24 03:00:00,1.183,1.175,1.191,ridge
PLANT_016,2025-04-24 04:00:00,1.242,1.233,1.25,ridge
PLANT_016,2025-04-24 05:00:00,1.306,1.297,1.314,ridge
PLANT_016,2025-04-24 06:00:00,1.376,1.368,1.384,ridge
PLANT_016,2025-04-24 07:00:00,1.465,1.457,1.474,ridge
PLANT_016,2025-04-24 08:00:00,1.524,1.516,1.532,ridge
PLANT_016,2025-04-24 09:00:00,1.553,1.544,1.561,ridge
PLANT_016,2025-04-24 10:00:00,1.479,1.471,1.488,ridge
PLANT_016,2025-04-24 11:00:00,1.381,1.373,1.389,ridge
PLANT_016,2025-04-24 12:00:00,1.27,1.262,1.278,ridge
PLANT_016,2025-04-24 13:00:00,1.078,1.07,1.086,ridge
PLANT_016,2025-04-24 14:00:00,0.844,0.836,0.852,ridge
PLANT_016,2025-04-24 15:00:00,0.569,0.561,0.577,ridge
PLANT_016,2025-04-24 16:00:00,0.274,0.266,0.282,ridge
PLANT_016,2025-04-24 17:00:00,0.038,0.029,0.046,ridge
PLANT_016,2025-04-24 18:00:00,0.0,0.0,0.008,ridge
PLANT_016,2025-04-24 19:00:00,0.0,0.0,0.008,ridge
PLANT_016,2025-04-24 20:00:00,0.0,0.0,0.008,ridge
PLANT_016,2025-04-24 21:00:00,0.0,0.0,0.008,ridge
PLANT_016,2025-04-24 22:00:00,0.0,0.0,0.008,ridge
PLANT_016,2025-04-24 23:00:00,0.0,0.0,0.008,ridge
PLANT_016,2025-04-25 00:00:00,0.0,0.0,0.008,ridge
PLANT_016,2025-04-25 01:00:00,0.0,0.0,0.008,ridge
PLANT_016,2025-04-25 02:00:00,0.0,0.0,0.008,ridge
PLANT_016,2025-04-25 03:00:00,0.0,0.0,0.008,ridge
