plant_id,timestamp,forecast_mw,p10,p25,p50,p75,p90,scenario_worst,scenario_base,scenario_best,sigma_total
PLANT_004,2025-04-26 10:00:00,0.439,0.0,0.0,0.491,1.942,3.559,0.0,0.491,3.559,5.521
PLANT_004,2025-04-26 11:00:00,0.442,0.0,0.0,0.378,1.925,3.418,0.0,0.378,3.418,5.521
PLANT_004,2025-04-26 12:00:00,0.382,0.0,0.0,0.473,2.1,3.26,0.0,0.473,3.26,5.521
PLANT_004,2025-04-26 13:00:00,0.269,0.0,0.0,0.251,1.786,3.202,0.0,0.251,3.202,5.521
PLANT_004,2025-04-26 14:00:00,0.201,0.0,0.0,0.082,1.83,3.081,0.0,0.082,3.081,5.521
PLANT_004,2025-04-26 15:00:00,0.047,0.0,0.0,0.071,1.792,3.24,0.0,0.071,3.24,5.52
PLANT_004,2025-04-26 16:00:00,0.0,0.0,0.0,0.0,1.64,3.209,0.0,0.0,3.209,5.52
PLANT_004,2025-04-26 17:00:00,0.0,0.0,0.0,0.063,1.489,2.913,0.0,0.063,2.913,5.52
PLANT_004,2025-04-26 18:00:00,0.0,0.0,0.0,0.014,1.558,2.873,0.0,0.014,2.873,5.52
PLANT_004,2025-04-26 19:00:00,0.0,0.0,0.0,0.013,1.473,3.04,0.0,0.013,3.04,5.52
PLANT_004,2025-04-26 20:00:00,0.0,0.0,0.0,0.0,1.59,3.05,0.0,0.0,3.05,5.52
PLANT_004,2025-04-26 21:00:00,0.0,0.0,0.0,0.113,1.603,2.872,0.0,0.113,2.872,5.52
PLANT_004,2025-04-26 22:00:00,0.0,0.0,0.0,0.016,1.635,3.075,0.0,0.016,3.075,5.52
PLANT_004,2025-04-26 23:00:00,0.0,0.0,0.0,0.182,1.624,3.067,0.0,0.182,3.067,5.52
PLANT_004,2025-04-27 00:00:00,0.0,0.0,0.0,0.094,1.637,3.055,0.0,0.094,3.055,5.52
PLANT_006,2025-04-24 01:00:00,1.103,0.265,0.635,1.097,1.533,1.936,0.265,1.097,1.936,0.676
PLANT_006,2025-04-24 02:00:00,1.152,0.515,0.789,1.147,1.461,1.8,0.515,1.147,1.8,0.676
PLANT_006,2025-04-24 03:00:00,1.206,0.665,0.907,1.193,1.47,1.732,0.665,1.193,1.732,0.677
PLANT_006,2025-04-24 04:00:00,1.265,0.812,1.011,1.238,1.49,1.722,0.812,1.238,1.722,0.678
PLANT_006,2025-04-24 05:00:00,1.328,0.9,1.094,1.318,1.539,1.716,0.9,1.318,1.716,0.678
PLANT_006,2025-04-24 06:00:00,1.399,0.987,1.167,1.389,1.597,1.76,0.987,1.389,1.76,0.679
PLANT_006,2025-04-24 07:00:00,1.487,1.072,1.271,1.48,1.682,1.846,1.072,1.48,1.846,0.681
PLANT_006,2025-04-24 08:00:00,1.551,1.167,1.341,1.532,1.73,1.913,1.167,1.532,1.913,0.682
PLANT_006,2025-04-24 09:00:00,1.569,1.179,1.35,1.537,1.763,1.938,1.179,1.537,1.938,0.682
PLANT_006,2025-04-24 10:00:00,1.524,1.142,1.321,1.515,1.715,1.881,1.142,1.515,1.881,0.681
PLANT_006,2025-04-24 11:00:00,1.387,0.99,1.179,1.361,1.581,1.744,0.99,1.361,1.744,0.679
PLANT_006,2025-04-24 12:00:00,1.208,0.819,0.972,1.178,1.376,1.55,0.819,1.178,1.55,0.677
PLANT_006,2025-04-24 13:00:00,0.943,0.562,0.727,0.935,1.135,1.292,0.562,0.935,1.292,0.674
PLANT_006,2025-04-24 14:00:00,0.738,0.359,0.537,0.727,0.92,1.09,0.359,0.727,1.09,0.673
PLANT_006,2025-04-24 15:00:00,0.511,0.157,0.324,0.507,0.693,0.872,0.157,0.507,0.872,0.671
PLANT_006,2025-04-24 16:00:00,0.318,0.0,0.123,0.324,0.505,0.688,0.0,0.324,0.688,0.671
PLANT_006,2025-04-24 17:00:00,0.158,0.0,0.0,0.162,0.356,0.53,0.0,0.162,0.53,0.67
PLANT_006,2025-04-24 18:00:00,0.024,0.0,0.0,0.048,0.228,0.381,0.0,0.048,0.381,0.67
PLANT_006,2025-04-24 19:00:00,0.0,0.0,0.0,0.001,0.183,0.368,0.0,0.001,0.368,0.67
PLANT_006,2025-04-24 20:00:00,0.0,0.0,0.0,0.027,0.19,0.359,0.0,0.027,0.359,0.67
PLANT_006,2025-04-24 21:00:00,0.0,0.0,0.0,0.015,0.192,0.356,0.0,0.015,0.356,0.67
PLANT_006,2025-04-24 22:00:00,0.0,0.0,0.0,0.002,0.171,0.356,0.0,0.002,0.356,0.67
PLANT_006,2025-04-24 23:00:00,0.0,0.0,0.0,0.0,0.173,0.359,0.0,0.0,0.359,0.67
PLANT_006,2025-04-25 00:00:00,0.0,0.0,0.0,0.0,0.188,0.347,0.0,0.0,0.347,0.67
PLANT_006,2025-04-25 01:00:00,0.0,0.0,0.0,0.0,0.182,0.334,0.0,0.0,0.334,0.67
PLANT_006,2025-04-25 02:00:00,0.0,0.0,0.0,0.0,0.174,0.365,0.0,0.0,0.365,0.67
PLANT_006,2025-04-25 03:00:00,0.0,0.0,0.0,0.0,0.189,0.382,0.0,0.0,0.382,0.67
PLANT_006,2025-04-25 04:00:00,0.0,0.0,0.0,0.0,0.18,0.344,0.0,0.0,0.344,0.67
PLANT_006,2025-04-25 05:00:00,0.0,0.0,0.0,0.0,0.193,0.379,0.0,0.0,0.379,0.67
PLANT_006,2025-04-25 06:00:00,0.0,0.0,0.0,0.004,0.198,0.37,0.0,0.004,0.37,0.67
PLANT_006,2025-04-25 07:00:00,0.001,0.0,0.0,0.013,0.181,0.344,0.0,0.013,0.344,0.67
PLANT_006,2025-04-25 08:00:00,0.01,0.0,0.0,0.008,0.194,0.387,0.0,0.008,0.387,0.67
PLANT_006,2025-04-25 09:00:00,0.018,0.0,0.0,0.026,0.221,0.399,0.0,0.026,0.399,0.67
PLANT_006,2025-04-25 10:00:00,0.02,0.0,0.0,0.008,0.189,0.363,0.0,0.008,0.363,0.67
PLANT_006,2025-04-25 11:00:00,0.021,0.0,0.0,0.014,0.195,0.383,0.0,0.014,0.383,0.67
PLANT_006,2025-04-25 12:00:00,0.012,0.0,0.0,0.013,0.205,0.382,0.0,0.013,0.382,0.67
PLANT_006,2025-04-25 13:00:00,0.006,0.0,0.0,0.009,0.197,0.366,0.0,0.009,0.366,0.67
PLANT_006,2025-04-25 14:00:00,0.001,0.0,0.0,0.0,0.186,0.356,0.0,0.0,0.356,0.67
PLANT_006,2025-04-25 15:00:00,0.0,0.0,0.0,0.0,0.174,0.336,0.0,0.0,0.336,0.67
PLANT_006,2025-04-25 16:00:00,0.0,0.0,0.0,0.0,0.169,0.334,0.0,0.0,0.334,0.67
PLANT_006,2025-04-25 17:00:00,0.0,0.0,0.0,0.0,0.187,0.342,0.0,0.0,0.342,0.67
PLANT_006,2025-04-25 18:00:00,0.0,0.0,0.0,0.0,0.185,0.356,0.0,0.0,0.356,0.67
PLANT_006,2025-04-25 19:00:00,0.0,0.0,0.0,0.0,0.186,0.347,0.0,0.0,0.347,0.67
PLANT_006,2025-04-25 20:00:00,0.0,0.0,0.0,0.0,0.166,0.352,0.0,0.0,0.352,0.67
PLANT_006,2025-04-25 21:00:00,0.0,0.0,0.0,0.0,0.176,0.339,0.0,0.0,0.339,0.67
PLANT_006,2025-04-25 22:00:00,0.0,0.0,0.0,0.0,0.193,0.36,0.0,0.0,0.36,0.67
PLANT_006,2025-04-25 23:00:00,0.0,0.0,0.0,0.0,0.192,0.369,0.0,0.0,0.369,0.67
PLANT_006,2025-04-26 00:00:00,0.0,0.0,0.0,0.003,0.18,0.358,0.0,0.003,0.358,0.67
PLANT_006,2025-04-26 01:00:00,0.0,0.0,0.0,0.0,0.178,0.373,0.0,0.0,0.373,0.67
PLANT_006,2025-04-26 02:00:00,0.0,0.0,0.0,0.0,0.175,0.349,0.0,0.0,0.349,0.67
PLANT_006,2025-04-26 03:00:00,0.0,0.0,0.0,0.012,0.205,0.371,0.0,0.012,0.371,0.67
PLANT_006,2025-04-26 04:00:00,0.0,0.0,0.0,0.0,0.199,0.378,0.0,0.0,0.378,0.67
PLANT_006,2025-04-26 05:00:00,0.0,0.0,0.0,0.0,0.181,0.346,0.0,0.0,0.346,0.67
PLANT_006,2025-04-26 06:00:00,0.0,0.0,0.0,0.001,0.19,0.343,0.0,0.001,0.343,0.67
PLANT_006,2025-04-26 07:00:00,0.001,0.0,0.0,0.013,0.203,0.375,0.0,0.013,0.375,0.67
PLANT_006,2025-04-26 08:00:00,0.007,0.0,0.0,0.01,0.193,0.373,0.0,0.01,0.373,0.67
PLANT_006,2025-04-26 09:00:00,0.01,0.0,0.0,0.01,0.179,0.366,0.0,0.01,0.366,0.67
PLANT_006,2025-04-26 10:00:00,0.011,0.0,0.0,0.018,0.194,0.39,0.0,0.018,0.39,0.67
PLANT_006,2025-04-26 11:00:00,0.019,0.0,0.0,0.012,0.2,0.381,0.0,0.012,0.381,0.67
PLANT_006,2025-04-26 12:00:00,0.012,0.0,0.0,0.024,0.221,0.362,0.0,0.024,0.362,0.67
PLANT_006,2025-04-26 13:00:00,0.005,0.0,0.0,0.003,0.19,0.361,0.0,0.003,0.361,0.67
PLANT_006,2025-04-26 14:00:00,0.005,0.0,0.0,0.0,0.203,0.355,0.0,0.0,0.355,0.67
PLANT_006,2025-04-26 15:00:00,0.0,0.0,0.0,0.003,0.212,0.388,0.0,0.003,0.388,0.67
PLANT_006,2025-04-26 16:00:00,0.0,0.0,0.0,0.0,0.199,0.39,0.0,0.0,0.39,0.67
PLANT_006,2025-04-26 17:00:00,0.0,0.0,0.0,0.008,0.181,0.354,0.0,0.008,0.354,0.67
PLANT_006,2025-04-26 18:00:00,0.0,0.0,0.0,0.002,0.189,0.349,0.0,0.002,0.349,0.67
PLANT_006,2025-04-26 19:00:00,0.0,0.0,0.0,0.002,0.179,0.369,0.0,0.002,0.369,0.67
PLANT_006,2025-04-26 20:00:00,0.0,0.0,0.0,0.0,0.193,0.37,0.0,0.0,0.37,0.67
PLANT_006,2025-04-26 21:00:00,0.0,0.0,0.0,0.014,0.195,0.349,0.0,0.014,0.349,0.67
PLANT_006,2025-04-26 22:00:00,0.0,0.0,0.0,0.002,0.198,0.373,0.0,0.002,0.373,0.67
PLANT_006,2025-04-26 23:00:00,0.0,0.0,0.0,0.022,0.197,0.372,0.0,0.022,0.372,0.67
PLANT_006,2025-04-27 00:00:00,0.0,0.0,0.0,0.011,0.199,0.371,0.0,0.011,0.371,0.67
PLANT_008,2025-04-24 01:00:00,3.2,1.101,2.025,3.179,4.267,5.272,1.101,3.179,5.272,1.687
PLANT_008,2025-04-24 02:00:00,3.344,1.746,2.431,3.325,4.108,4.955,1.746,3.325,4.955,1.689
PLANT_008,2025-04-24 03:00:00,3.5,2.141,2.745,3.461,4.152,4.806,2.141,3.461,4.806,1.691
PLANT_008,2025-04-24 04:00:00,3.669,2.53,3.028,3.595,4.224,4.804,2.53,3.595,4.804,1.693
PLANT_008,2025-04-24 05:00:00,3.853,2.775,3.26,3.821,4.374,4.815,2.775,3.821,4.815,1.696
PLANT_008,2025-04-24 06:00:00,4.057,3.018,3.469,4.025,4.544,4.953,3.018,4.025,4.953,1.699
PLANT_008,2025-04-24 07:00:00,4.31,3.264,3.762,4.283,4.788,5.198,3.264,4.283,5.198,1.703
PLANT_008,2025-04-24 08:00:00,4.463,3.493,3.928,4.407,4.902,5.361,3.493,4.407,5.361,1.706
PLANT_008,2025-04-24 09:00:00,4.439,3.455,3.884,4.351,4.915,5.354,3.455,4.351,5.354,1.705
PLANT_008,2025-04-24 10:00:00,4.404,3.438,3.888,4.373,4.873,5.289,3.438,4.373,5.289,1.705
PLANT_008,2025-04-24 11:00:00,3.953,2.953,3.427,3.881,4.43,4.837,2.953,3.881,4.837,1.697
PLANT_008,2025-04-24 12:00:00,3.465,2.486,2.868,3.383,3.878,4.311,2.486,3.383,4.311,1.691
PLANT_008,2025-04-24 13:00:00,2.871,1.912,2.325,2.843,3.343,3.734,1.912,2.843,3.734,1.684
PLANT_008,2025-04-24 14:00:00,2.143,1.194,1.637,2.111,2.593,3.015,1.194,2.111,3.015,1.677
PLANT_008,2025-04-24 15:00:00,1.505,0.62,1.035,1.491,1.956,2.4,0.62,1.491,2.4,1.672
